instant,dteday,seasons,yr,mnth,holiday_num,weekday_num,weekday_cat,workingday_num,weathersit,atemp,hum,windspeed,casual,registered
1,2018-01-01,winter,0,1,1,0,monday,0,2,18.18125,80.5833,10.749882,331,654
2,2018-01-02,winter,0,1,0,1,tuesday,1,2,17.68695,69.6087,16.652113,131,670
3,2018-01-03,winter,0,1,0,2,wednesday,1,1,9.47025,43.7273,16.636703,120,1229
4,2018-01-04,winter,0,1,0,3,thursday,1,1,10.6061,59.0435,10.739832,108,1454
5,2018-01-05,winter,0,1,0,4,friday,1,1,11.4635,43.6957,12.5223,82,1518
6,2018-01-06,winter,0,1,0,5,saturday,0,1,11.66045,51.8261,6.0008684,88,1518
7,2018-01-07,winter,0,1,0,6,sunday,0,2,10.44195,49.8696,11.304642,148,1362
8,2018-01-08,winter,0,1,0,0,monday,1,2,8.1127,53.5833,17.875868,68,891
9,2018-01-09,winter,0,1,0,1,tuesday,1,1,5.80875,43.4167,24.25065,54,768
10,2018-01-10,winter,0,1,0,2,wednesday,1,1,7.5444,48.2917,14.958889,41,1280
11,2018-01-11,winter,0,1,0,3,thursday,1,2,9.5732,68.6364,8.182844,43,1220
12,2018-01-12,winter,0,1,0,4,friday,1,1,8.02365,59.9545,20.410009,25,1137
13,2018-01-13,winter,0,1,0,5,saturday,0,1,7.54415,47.0417,20.167,38,1368
14,2018-01-14,winter,0,1,0,6,sunday,0,1,9.42065,53.7826,8.478716,54,1367
15,2018-01-15,winter,0,1,0,0,monday,1,2,12.4056,49.875,10.583521,222,1026
16,2018-01-16,winter,0,1,1,1,tuesday,0,1,11.71085,48.375,12.625011,251,953
17,2018-01-17,winter,0,1,0,2,wednesday,1,2,8.83855,53.75,12.999139,117,883
18,2018-01-18,winter,0,1,0,3,thursday,1,2,11.61665,86.1667,9.833925,9,674
19,2018-01-19,winter,0,1,0,4,friday,1,2,14.9211,74.1739,13.957239,78,1572
20,2018-01-20,winter,0,1,0,5,saturday,0,2,12.7525,53.8333,13.125568,83,1844
21,2018-01-21,winter,0,1,0,6,sunday,0,1,7.89165,45.7083,23.667214,75,1468
22,2018-01-22,winter,0,1,0,0,monday,1,1,3.95348,40.0,11.52199,93,888
23,2018-01-23,winter,0,1,0,1,tuesday,1,1,4.941955,43.6522,16.5222,150,836
24,2018-01-24,winter,0,1,0,2,wednesday,1,1,5.8965,49.1739,10.60811,86,1330
25,2018-01-25,winter,0,1,0,3,thursday,1,2,11.7263,61.6957,8.696332,186,1799
26,2018-01-26,winter,0,1,0,4,friday,1,3,10.18,86.25,19.68795,34,472
27,2018-01-27,winter,0,1,0,5,saturday,0,1,10.985,68.75,7.627079,15,416
28,2018-01-28,winter,0,1,0,6,sunday,0,2,11.16585,79.3043,8.2611,38,1129
29,2018-01-29,winter,0,1,0,0,monday,1,1,10.6063,65.1739,9.739455,123,975
30,2018-01-30,winter,0,1,0,1,tuesday,1,1,12.5161,72.2174,4.9568342,140,956
31,2018-01-31,winter,0,1,0,2,wednesday,1,2,9.3125,60.375,12.541864,42,1459
32,2018-02-01,winter,0,2,0,3,thursday,1,2,11.7265,82.9565,3.565271,47,1313
33,2018-02-02,winter,0,2,0,4,friday,1,2,12.72085,77.5417,17.708636,72,1454
34,2018-02-03,winter,0,2,0,5,saturday,0,1,8.8939,43.7826,18.609384,61,1489
35,2018-02-04,winter,0,2,0,6,sunday,0,2,11.42935,58.5217,8.565213,88,1620
36,2018-02-05,winter,0,2,0,0,monday,1,2,12.1529,92.9167,10.792293,100,905
37,2018-02-06,winter,0,2,0,1,tuesday,1,1,14.58355,56.8333,9.5006,354,1269
38,2018-02-07,winter,0,2,0,2,wednesday,1,1,15.1829,73.8333,3.0423561,120,1592
39,2018-02-08,winter,0,2,0,3,thursday,1,1,9.9123,53.7917,24.25065,64,1466
40,2018-02-09,winter,0,2,0,4,friday,1,2,7.21415,49.4783,12.652213,53,1552
41,2018-02-10,winter,0,2,0,5,saturday,0,1,7.4774,43.7391,14.869645,47,1491
42,2018-02-11,winter,0,2,0,6,sunday,0,1,10.67545,50.6364,7.27285,149,1597
43,2018-02-12,winter,0,2,0,0,monday,1,1,11.6477,54.4167,13.625589,288,1184
44,2018-02-13,winter,0,2,1,1,tuesday,0,1,16.20565,45.7391,17.479161,397,1192
45,2018-02-14,winter,0,2,0,2,wednesday,1,1,19.9175,37.5833,12.125325,208,1705
46,2018-02-15,winter,0,2,0,3,thursday,1,1,12.7137,31.4348,19.522058,140,1675
47,2018-02-16,winter,0,2,0,4,friday,1,1,15.81,42.3478,16.869997,218,1897
48,2018-02-17,winter,0,2,0,5,saturday,0,1,21.4329,50.5,15.416968,259,2216
49,2018-02-18,winter,0,2,0,6,sunday,0,1,25.59915,51.6667,17.749975,579,2348
50,2018-02-19,winter,0,2,0,0,monday,1,1,19.5702,62.625,12.125325,532,1103
51,2018-02-20,winter,0,2,1,1,tuesday,0,1,13.8665,40.7826,14.956745,639,1173
52,2018-02-21,winter,0,2,0,2,wednesday,1,2,14.20375,60.5,20.625682,195,912
53,2018-02-22,winter,0,2,0,3,thursday,1,1,9.30165,57.7778,13.110761,74,1376
54,2018-02-23,winter,0,2,0,4,friday,1,1,12.28585,42.3043,6.305571,139,1778
55,2018-02-24,winter,0,2,0,5,saturday,0,2,14.45955,69.7391,16.783232,100,1707
56,2018-02-25,winter,0,2,0,6,sunday,0,2,17.52305,71.2174,23.218113,120,1341
57,2018-02-26,winter,0,2,0,0,monday,1,1,14.1096,53.7917,12.500257,424,1545
58,2018-02-27,winter,0,2,0,1,tuesday,1,1,17.55545,68.0,8.391616,694,1708
59,2018-02-28,winter,0,2,0,2,wednesday,1,2,20.0059,87.6364,19.408962,81,1365
60,2018-03-01,winter,0,3,0,3,thursday,1,1,13.19395,53.5,14.500475,137,1714
61,2018-03-02,winter,0,3,0,4,friday,1,1,16.00355,44.9583,20.624811,231,1903
62,2018-03-03,winter,0,3,0,5,saturday,0,1,10.00665,31.8333,15.125518,123,1562
63,2018-03-04,winter,0,3,0,6,sunday,0,2,12.78395,61.0417,13.624182,214,1730
64,2018-03-05,winter,0,3,0,0,monday,1,2,18.93895,78.9167,16.875357,640,1437
65,2018-03-06,winter,0,3,0,1,tuesday,1,2,18.3126,94.8261,23.000229,114,491
66,2018-03-07,winter,0,3,0,2,wednesday,1,1,11.92305,55.1304,22.870584,244,1628
67,2018-03-08,winter,0,3,0,3,thursday,1,1,15.12,42.0833,8.08355,316,1817
68,2018-03-09,winter,0,3,0,4,friday,1,2,14.3304,77.5417,14.75005,191,1700
69,2018-03-10,winter,0,3,0,5,saturday,0,3,19.2834,62.625,17.545759,46,577
70,2018-03-11,winter,0,3,0,6,sunday,0,2,15.25,64.9565,15.60899,247,1730
71,2018-03-12,winter,0,3,0,0,monday,1,1,16.2875,59.4583,14.791925,724,1408
72,2018-03-13,winter,0,3,0,1,tuesday,1,1,19.00455,52.7391,18.130468,982,1435
73,2018-03-14,winter,0,3,0,2,wednesday,1,1,16.6,49.6957,9.174042,359,1687
