,predictor,importancia
1,atemp,0.21517593364715623
5,yryr_1,0.19307462861733085
4,yryr_0,0.18044238188038586
0,seasons,0.1381073138765974
2,hum,0.047537097324736946
6,mnthmnth_1,0.041067112376334466
3,windspeed,0.04007244407929868
20,weekday_numweekday_num_0,0.029150475396123587
7,mnthmnth_2,0.013872996653272842
31,weathersitweathersit_3,0.012677558686656558
29,weathersitweathersit_1,0.011452908541047347
26,weekday_numweekday_num_6,0.011170976020023912
16,mnthmnth_11,0.0062907857048096006
30,weathersitweathersit_2,0.005175144480581146
14,mnthmnth_9,0.005130400817818159
8,mnthmnth_3,0.005122966661223292
21,weekday_numweekday_num_1,0.005068847069046724
9,mnthmnth_4,0.004712017455545506
17,mnthmnth_12,0.004470510454392452
18,holiday_numholiday_num_0,0.003763153699789404
24,weekday_numweekday_num_4,0.00335122033183939
23,weekday_numweekday_num_3,0.0032842698306683655
19,holiday_numholiday_num_1,0.0032114451853788328
28,workingday_numworkingday_num_1,0.00318028471155003
15,mnthmnth_10,0.0031549654684664293
27,workingday_numworkingday_num_0,0.002529245638146319
11,mnthmnth_6,0.0022365349258338784
25,weekday_numweekday_num_5,0.0016162618100834655
13,mnthmnth_8,0.001233130163566706
22,weekday_numweekday_num_2,0.001201228797168131
10,mnthmnth_5,0.0009769551949671696
12,mnthmnth_7,0.0004888045001603703
